1;Ana Silva;54746837236
2;Bruno Souza;88434851482
3;Carlos Oliveira;80677844506
4;Daniela Santos;21936183803
5;Eduardo Lima;44016814286
6;Fernanda Costa;57795568734
7;Gabriel Pereira;21784321230
8;Amanda Rodrigues;63707593177
9;Igor Almeida;10088751805
10;Juliana Ribeiro;61612085393
11;Lucas Carvalho;44962669117
12;Mariana Gomes;50799356859
13;Natan Martins;55700400804
14;Olivia Rocha;81243589310
15;Pedro Alves;61872068600
16;Beatriz Dias;27523834019
17;Rafael Moreira;60094537399
18;Sofia Barbosa;56461910255
19;Thiago Pinto;84569482767
20;Vanessa Teixeira;25388584453
21;Alexandre Mendes;84175029044
22;Camila Castro;91936354942
23;Diego Cardoso;12899524852
24;Eliana Freitas;78658223671
25;Fabio Rocha;10737250143
26;Gisele Santana;02507634197
27;Henrique Vieira;25932474874
28;Isabela Ramos;44188310960
29;Joao Ferreira;20811407721
30;Karina Machado;61964145856
31;Leonardo Nogueira;25664038055
32;Manuela Correia;18453782881
33;Nicolas Borges;31096943603
34;Patricia Carvalho;01607829029
35;Rodrigo Assis;28310023707
36;Sabrina Melo;12430050412
37;Tiago Araujo;65689474231
38;Valeria Fonseca;77004237419
39;Wagner Guimaraes;39071417921
40;Yasmin Cunha;07557480937
41;Andreia Neves;74239715962
42;Bernardo Duarte;70070037701
43;Clarice Miranda;86657455720
44;Danilo Antunes;97329277800
45;Elaine Viana;76386768078
46;Felipe Brandao;24380822672
47;Gabriela Campos;81339821893
48;Heitor Caldeira;76273256250
49;Ines Medeiros;46208399815
50;Jorge Peixoto;16928163062
51;Leticia Rezende;01066501300
52;Matheus Farias;68105927926
53;Natalia Couto;03767073307
54;Otavio Bueno;83729631349
55;Priscila Novaes;34199938460
56;Ricardo Malta;81378157320
57;Simone Xavier;12277754234
58;Tatiane Ramos;80698972449
59;Vitor Menezes;62902486260
60;Yuri Franco;95705760655
61;Alice Bernardes;41956937560
62;Caio Toledo;34590089467
63;Debora Dorneles;65843053415
64;Erick Dornellas;21634020960
65;Flavia Marques;24631950293
66;Guilherme Junqueira;93807651420
67;Helena Malta;51407781499
68;Ivan Sales;79115357600
69;Julia Padilha;22662392282
70;Kevin Portela;00704901200
71;Larissa Aragao;83988749451
72;Murilo Sales;65670142616
73;Nicole Muniz;40465217591
74;Orlando Neto;16910135601
75;Paula Souto;64747376208
76;Renan Paiva;51727580974
77;Sara Reis;98551448641
78;Tania Fontes;20715364103
79;Vinicius Bezerra;48047396960
80;Zelia Drummond;08532656749
81;Arthur Aguiar;88121458250
82;Bianca Lins;39987468039
83;Claudio Porto;30086812203
84;Daniel Maciel;69424578253
85;Ester Guerra;50046159932
86;Francisco Meireles;24143946769
87;Glaucia Lemos;70206089066
88;Hugo Ortiz;16149861503
89;Isadora Nazario;84209578100
90;Jonas Valente;59741150822
91;Katia Sampaio;11974133087
92;Luiz Menezes;83496131730
93;Marta Frota;36245228174
94;Nelson Pires;52478889870
95;Olga Linhares;79291944424
96;Paulo Braganca;06898982583
97;Raquel Chaves;29704441789
98;Samuel Galvao;61664566465
99;Tereza Villa;94832688006
100;William Passos;71776949277
